month,day,day_of_week,pm2_5_lag1,pm2_5_lag2,pm2_5_lag3,pm2_5_roll7,pm2_5_roll14,pm2_5_std7,pm2_5
11,26,3,264.39,300.52,337.8,278.28285714285715,297.43857142857144,41.94872056622058,208.0
11,26,3,208.0,264.39,300.52,257.60714285714283,277.49642857142857,75.04468729014859,115.32
11,26,3,115.32,208.0,264.39,232.56285714285715,257.7657142857143,97.00628823505647,92.77
11,26,3,92.77,115.32,208.0,201.0471428571429,240.69714285714286,103.59379256086176,88.53
11,26,3,88.53,92.77,115.32,168.0742857142857,226.6385714285714,88.4354568517143,106.99
11,26,3,106.99,88.53,92.77,144.88857142857142,216.14285714285714,66.47223716925517,138.22
11,26,3,138.22,106.99,88.53,129.3542857142857,207.81928571428574,42.145321154762705,155.65
11,26,3,155.65,138.22,106.99,123.85714285714286,201.07,31.28890842576941,169.52
11,26,3,169.52,155.65,138.22,136.27,196.93857142857146,42.54744214795207,202.21
11,26,3,202.21,169.52,155.65,156.49857142857144,194.5307142857143,51.20010300398862,234.37
11,26,3,234.37,202.21,169.52,178.92285714285714,189.98499999999999,50.84337181130749,245.5
11,26,3,245.5,234.37,202.21,196.46285714285713,182.26857142857145,42.36316313114724,229.77
11,26,3,229.77,245.5,234.37,201.68428571428572,173.2864285714286,35.71958373084385,174.77
11,26,3,174.77,229.77,245.5,195.77714285714288,162.56571428571428,46.41826067195459,114.3
11,26,3,114.3,174.77,229.77,184.41857142857143,154.13785714285714,61.267256733258826,90.01
11,26,3,90.01,114.3,174.77,167.25,151.76000000000002,71.44418124195514,82.03
11,26,3,82.03,90.01,114.3,144.77714285714288,150.63785714285714,71.55366604031914,77.06
11,26,3,77.06,82.03,90.01,120.14857142857144,149.53571428571428,59.81376079927074,73.1
11,27,4,73.1,77.06,82.03,97.49142857142856,146.97714285714284,37.09163402016292,71.17
11,27,4,71.17,73.1,77.06,83.61857142857141,142.65142857142857,14.882039990730643,77.66
11,27,4,77.66,71.17,73.1,80.7,138.23857142857145,8.494763092634873,93.87
